tweet_id	text	author_id	in_reply_to_user_id	mentions	retweeted	replied_to
1596402401019584513	"RT @JamilaNanziri: President Museveni  will next month tour US &amp; UK promoting Ugandan exports &amp; industrial development. 
The trip comes as…"	1502502737149411331		['1516761868366397441']	1.5960936740895089e+18	
1596402401522900992	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	1590791516078936072		['28197128']	1.5962430017347502e+18	
1596402402827309057	@POTUS By making them take experimental vaccines or lose their jobs...sounds authoritarian	1514837806706991106	1.3491490969096684e+18	['1349149096909668363']		1.596217228013187e+18
1596402402969673728	RT @JamieSale: Majority of Covid deaths are now among vaccinated Americans for the first time | Daily Mail Online https://t.co/53SX3aaagr	744231366		['195717987']	1.5961541737747948e+18	
1596402405083840512	RT @CoachChav: In the boredom that is the quarantine life, I stumbled across this video today. Thoughts: 1. How fast would Jamaica have gon…	1447550728457924613		['4444505179']	1.248337649938686e+18	
1596402405989814277	@POTUS Vaccines don’t work	804132241	1.3491490969096684e+18	['1349149096909668363']		1.5961869569787167e+18
1596402406501539840	RT @DrJBhattacharya: The 9th circuit's irrational ruling ignores the scientific fact that the vax does not stop disease transmission. Even…	1445625690959728647		['1427361863830949908']	1.5963901164228444e+18	
1596402406627356672	RT @kurtnorman73: How has your #Security system fared amid a global pandemic and increasing #Ransomware? I’m tuning in to CDW's Executive S…	1142424032794406912		['179283753']	1.596401885350482e+18	
1596402406778363904	RT @DrJBhattacharya: The 9th circuit's irrational ruling ignores the scientific fact that the vax does not stop disease transmission. Even…	1008331861821739008		['1427361863830949908']	1.5963901164228444e+18	
1596402407977943040	RT @TheBernician: When Chancellor, unelected PM Sunak paid £196M to Moderna, which his company, Theleme, is a major shareholder of, for 7M…	1591203592769265664		['1921157221']	1.5960936290678415e+18	
1596402409726971904	"RT @aalletsss: This pandemic made me enjoy my dildos and toys more 😍 watch full on my Onlyfans. 30% off now. 
https://t.co/8QSaIATEcj 🤤💦 #R…"	1503986617257803777		['1107408019657232384']	1.3112917858854257e+18	
1596402412104736770	RT @drsimonegold: In the last press briefing of his federal career, Dr. Anthony Fauci attacked those who refused the COVID-19 injections, c…	68192057		['806344552718045184']	1.5962870273011876e+18	
1596402412280901633	RT @Bonisile_RMS: I am tired of scolding her. Like, it’s fine, wash your hands in Oros. Do whatever, bruh. It’s your life 😔 https://t.co/af…	1199019798845374464		['34433300']	1.5962154770844877e+18	
1596402412721688577	RT @ABNJAMNSHI: In Africa, Covid19 did not only compound the climate crises; it also exposed the volatile nature of fossil dependent  econo…	1508440296400502784		['996052927']	1.5963919863614136e+18	
1596402412637417472	@JReinerMD My parents got their 2nd booster earlier this fall. They went on a tour of Mexico city 2 wks ago. The tour required everyone to be boosted. 10 of them including my parents came back super sick with Covid. Seems to me the boosters aren’t working. 2nd time this year they had Covid.	1329536441727139840	537795028.0	['537795028']		1.5961666877324124e+18
1596402413165899776	RT @Lou_LKB: #WeStandWithJohnny Currently 874. I can try and add more to this collage when l get home from work https://t.co/XQ0Wn83U7E	1379417515164504068		['784328504']	1.5961752054491423e+18	
1596402413610696705	@ccshoreditch I started following Sam in lockdown......kept me laughing on many a dreary day.	46587375	2794025435.0	['2794025435']		1.5964015496930263e+18
1596402413736714241	RT @Byron_Wan: Xinjiang capital Urumqi tonight (Nov 25): residents are roaming the streets demanding 解封 (lift the lockdown restrictions)… h…	278065291		['2888593734']	1.5961674498580152e+18	
1596402413904486401	RT @johnpringdns: The disability charity Scope has been forced to apologise after facing accusations that its new annual awards ceremony ex…	1296378232091090945		['138038823']	1.596402162258645e+18	
1596402415397486592	"RT @backtolife_2023: White House COVID Coordinator Dr. Ashish Jha Asked Point Blank If Vaccines Should Be Mandated
Source: Forbes Breaking…"	1551067758615560192		['1109532876310302721']	1.5957564521482895e+18	
1596402415628165120	"RT @BladeoftheS: PPE Medpro was worth £100 when it was given a £200,000,000 contract to purchase PPE.

Nothing at all dodgy about that."	835455770		['1455903807389458436']	1.5962324577617265e+18	
1596402414898319361	"16 HOBBIES THAT WILL MAKE YOU SERIOUS MONEY FREE EBOOK DOWNLOAD https://t.co/gH3EoY5ObY

#makemoneyonline #makemoney #workfromhome #earnmoney #work #jobs #free #ebook #download #free-ebookdownload #affiliatemarketing https://t.co/J2JNjQCn3b"	1419736114211004418				
1596402415816740864	"RT @mrddmia: Fauci funded COVID’s birth in Wuhan lab

Led coverup

Loss of millions of lives and trillions in treasure

2+ years of human m…"	859311065737441280		['20394822']	1.5949326145359708e+18	
1596402416240525312	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	57304101		['28197128']	1.5962430017347502e+18	
1596402417590972416	RT @akheriaty: 4/ Days after Lane returned, WHO published its report praising China’s strategy: “China’s uncompromising and rigorous use of…	103465324		['54322957']	1.5959016322940273e+18	
1596402419016966144	RT @leenvervaeke: Chinese netizens filling WeChat with angry messages condemning deadly fire in Urumqi (rescue possibly delayed by covid me…	4838657654		['259242107']	1.5962059466900767e+18	
1596402420497944576	RT @PickardJE: - the @ft today asked both Tory peer Baroness Michelle Mone and her billionaire husband Douglas Barrowman whether any UK tax…	2198489003		['69080476', '18949452']	1.5962523413840118e+18	
1596402420963106816	"RT @KreekCraft: MiniToon announces the official end of Roblox Piggy. The next update will be the game's last update.

It's been over a year…"	1594886107564425219		['3025674465']	1.5961424111089746e+18	
1596402422376632321	RT @PaulMitchell_AB: Alberta Premier Danielle Smith: “Anyone is welcome to wear a mask if they feel that that is the right choice for them,…	1481718778807427072		['1069697383829651456']	1.596355619619238e+18	
1596402423517835264	RT @David__Osland: Some people are more angry with nurses for going on strike than they are with Michelle Mone for selling nurses defective…	1430530490730229764		['3407247983']	1.596149201657688e+18	
1596402425484652545	"RT @A6er: Gove under pressure to explain role in PPE deals for Mone-linked firm
Minister’s insistence he referred all offers to civil servi…"	1118252174105034753		['54176836']	1.5960866726091203e+18	
1596402426487373831	RT @black__dubIiner: if your parents didn’t vaccinate you as a baby who was born during the “vaccines cause autism” media frenzy, it’s neve…	1562151149179895808		['823384899449212933']	1.5961385313022935e+18	
1596402427443675136	@Chesschick01 The moment I saw it on lame stream media. Covid has been around for generations…..when you got flu years ago, it was a 40% chance of being a covid strain. It’s been around for a long time. The people messing with gain of function created  the problem	1390505417701314561	36134346.0	['36134346']		1.596216988145025e+18
1596402430320996352	"RT @YJShinn_: [share is appreciated]
✨ Your Concert Essential is Here ✨
.
🌸 Seventeen Scented Hand Sanitizer 🌸
Scent option : Lavender / Le…"	1419627515857891329		['1115827135']	1.5961264593865073e+18	
1596402431126294529	RT @spectatorindex: BREAKING: China reports over 35,000 new daily coronavirus cases, a record for the country.	74723094		['1626294277']	1.5963771536956703e+18	
1596402434196340736	RT @tirnaog_09: Roy Keane spot on with his prediction about Celtic bouncing back from the Covid season's disappointment. https://t.co/gp3oP…	457320010		['1319685338617548800']	1.5960385272710717e+18	
1596402437514223618	"RT @ifindkarma: Biden delivers AGAIN! #BidenDeliversAGAIN @TheDemocrats 

https://t.co/0sps6MKbQX"	3333311060		['1688', '14377605']	1.5592894312315822e+18	
1596402438093025280	RT @WashburneAlex: From 1977 influenza pandemic, it took ~40 years before a laboratory origin was widely accepted, despite being clear by 1…	121798016		['1481707872970960896']	1.5962172445684163e+18	
1596402438453440512	Quarantine restriction have been lifted on import animal from that country https://t.co/YhYiJ8lR7u	1403077349000708096				
1596402439032537088	"RT @KieronMoyles: Just a reminder about Matt Hancock.
He wasted millions giving PPE contracts to Michele Mone &amp; his pub landlord.
He sent s…"	260916833		['124461963']	1.5962593752319508e+18	
1596402439103840257	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1565399976053719047		['337808606']	1.596242318792614e+18	
1596402440491962369	RT @Uyghur_American: The girls talk about how they have all been very compliant, that others would have rioted by now but they haven’t, and…	1251774334974164992		['1075435039008219136']	1.5961366569599918e+18	
1596402441041448960	RT @RageSheen: If you’re a journalist, there’s still time to mention the thousands of Covid deaths that are happening in Australia this yea…	1159923749262647296		['1366537530519154689']	1.596284888520745e+18	
1596402442077601793	"@razorback11111 For the ""laptop"" class - Andrews has not only saved them during covid from death, but from their workplaces as well.   

We are a service economy and no longer work with our hands or heads. 

The majority like the firm hand of government directing their lives."	1573143997824258048	1.3172330768506798e+18	['1317233076850679808']		1.5963873493066916e+18
1596402442534793217	"READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent
Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction.
https://t.co/rIvxCGA3Ob 58"	289118612				
1596402442861973504	love when i get home from work and just sit in my car for 45 minutes before i actually go inside	752365766784102400				
1596402443122020352	"@TomJumboGrumbo ‼️URGENT‼️#NewYorkCity #USA 
This is adorable MOON, her real name. She's 5. Rotten owner dumped her AND she has Pneumonia! She's a ""cuddle bug""  who needs just ONE Angel 😇 to  actually LOVE &amp; pay attention to her. PLEASE READ FB post $1000 Stipend. #Pledge #Rescue #Foster #Adopt https://t.co/6Lhd7f6atR"	768525106196860928	7.980546448534077e+17	['798054644853407744']		1.5954684897869414e+18
1596402444145422336	@Sebpop123 @tuneh @JamesMelville The answers are multifactorial. I was in Mali during covid. People moving around, eating fresh veg, no glyphosate. No stats so not manipulated. No lockdown. Yes there was testing - not nasal. Hydrochloroquinine available.	1582535226525454337	1.223082926255919e+18	['1223082926255919104', '20039955', '20675681']		1.5959392948832502e+18
1596402445995102211	RT @EricTopol: Common threads between #SARSCoV2 brain involvement and Alzheimer's disease at post-mortem: pattern of neuroinflammation and…	812039703717232640		['86626845']	1.5961926454615736e+18	
1596402446502612992	RT @neilgibbons: England aren't playing badly. This game is simply the result of global factors, not least the effects of the pandemic and…	253689543		['28197128']	1.5962430017347502e+18	
1596402448608169984	"RT @IamBrookJackson: Dr. Malone: Ron Johnson’s COVID-19 Hearings Will Decimate COVID-19 Lies And Manipulation 
https://t.co/1EVlhQUDm9"	1499085454473322496		['1439405246518906881']	1.596387504554668e+18	
1596402450034221056	RT @AbduwelA: What happened Nv 24 in Urumchi, two Uyghur girls telling from the beginning of the lockdown, what difficulties they were in a…	971546854834954240		['1076925599074172928']	1.596122422587011e+18	
1596402451460280320	"Get Covid! The best there is.
🤣
https://t.co/jNNeL1frny"	1486612471246901251				
1596402452357558272	RT @MarshaBlackburn: Communist China's failed zero-COVID policy has resulted in record infections, destroyed livelihoods, and created a men…	795426671008444416		['278145569']	1.5962906386049475e+18	
1596402453096075265	"RT @BladeoftheS: PPE Medpro was worth £100 when it was given a £200,000,000 contract to purchase PPE.

Nothing at all dodgy about that."	21442060		['1455903807389458436']	1.5962324577617265e+18	
1596402453620355072	"RT @hewitson10: The only thing you ever need to remember about Matt Hancock 

He released elderly covid patients back into care homes

NEVE…"	227968510		['1253672034']	1.5959236909524828e+18	
1596402453892694016	"RT @ahdidyo: So just why was she given the peerage?
Not just the knickers entrepreneur business
The real reason"	825389066770333696		['4808244095']	1.5963947568418284e+18	
1596402454047989762	"@Dad_Information @jordanbpeterson SAY NO TO COVID-19 VACCINES

Get your covid-19 Digital QR certificate  or PAPER CARD without taking the vaccine. Send a dm to get your QR Scan Covid-19 Passports without taking the vaccine 
Click the link below

https://t.co/FVGg8BaFHv"	910060140	1.5934918241061233e+18	['1593491824106123264', '95092020']		1.5964013269086577e+18
1596402457730764802	RT @govt_corrupt: #BREAKING: Justin Trudeau lies under oath by saying he never attacked unvaccinated Canadians over Covid mandates or took…	2192847588		['1480605339963863046']	1.596224436213932e+18	
1596402459253288960	RT @hippychxi: Tory peer Michelle Mone reportedly pocketed £29m of public money for unsafe PPE. The Lords must kick her out of Parliament a…	985437319942549504		['25380676']	1.5964015615715697e+18	
1596402462209888256	"RT @backtolife_2023: White House COVID-19 Coordinator Tells Congress They Need To Step Up &amp; Do Their Job
Forbes Breaking News https://t.co/…"	838209097384214528		['1109532876310302721']	1.596257762568192e+18	
1596402462302298113	"RT @LongCovidKids: ""A number of education secretary's over the last 30 mths have continued NOT to take account of COVID and Long Covid in s…"	897224859369050112		['1304036484920606720']	1.596095170059305e+18	
1596402463074299904	RT @WorldBank: The pandemic dealt a historic blow to poverty reduction. Learn how fiscal policy can help repair the damage:	2333786131		['27860681']	1.5883805195567923e+18	
1596402463032152064	RT @holyliberation1: The dirty sneaky general Eric Bucquet is a criminal who administrate torture,murder, human trafficking,brain-washing,…	1250629380398874625		['1551124902131879937']	1.5962788367270912e+18	
1596402467318677505	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	74138446		['337808606']	1.595173745165013e+18	
1596402467469762560	@ClownWorld_ About damn time!  People are dying out here!  The pandemic is still raging.	1514992287562055685	1.4469321491483443e+18	['1446932149148344320']		1.596329093590442e+18
1596402468925366272	RT @LegendaryEnergy: Ben Shapiro vs. Louis Farrakhan on the Covid vaccine (when it actually mattered) https://t.co/6mWoTxAwgC	558347505		['226194552']	1.5893904101952922e+18	
1596402470254936065	"RT @dats: Some experts talk about Covid as a ""mass disabling event"" and Rowland's long covid story is just one of so many. Really eye openi…"	17304308		['38002103']	1.596386144756736e+18	
1596402470305292289	RT @AllWillingDruid: #China the #Unicorn is showing how to take care of 1.billions people ; For #Earth to build #MegaCities protecting  aga…	704934261414109185		['1574766373632610310']	1.596395937928446e+18	
1596402470389174272	@dave43law Didn't our latest prime minister Rishi Sunak wife change her company name to a medical company to gain a ppe contract, time this corrupt greedy murdering government was gone, she should return the money she took.	1110945903916056576	528674835.0	['528674835']		1.5960854417861755e+18
1596402470674399238	@DunstDon I want to say this is bs but like I also cucked and said the same over mandated vaccines. Which happened. So yeah, time to MAN-handle some soy trans weirdos.	1581494575599960069	1.5082960633121464e+18	['1508296063312146437']		1.596395800640516e+18
1596402470955409409	RT @macastel3: 3 years wasted on building quarantine camps, testing sites, employing millions of people just to lock down others and the nu…	1578669241947279362		['14140433']	1.5963840645036155e+18	
1596402470993170432	RT @laralogan: So now we are already ruled by an unelected one world government.	1518978189753786371		['1098091506886471680']	1.5962071211037164e+18	
1596402474864504832	@BretWeinstein @joerogan Alot of people got sick but it works because covid is pythiosis. Think heart worm in dogs, and if you have hookworm it cures autoimmune issues.	1524565620104302593	78683448.0	['78683448', '18208354']		1.5929939694029414e+18
1596402475057168385	RT @RobertKennedyJr: After analyzing more than 7 years of Massachusetts death certificates, independent investigator John Beaudoin, Sr., un…	1521152164613218305		['337808606']	1.595173745165013e+18	
1596402476273786880	@SkyNews Modern Britain and children are dying of pneumonia because there was only one doctor available. Yet some people keep voting for these same idiots currently in power. Last week a child died from mould in a totally preventable situation.	1150495729896644608	7587032.0	['7587032']		1.5962998185652675e+18
